# start_index(1-based) end_index(1-based) count average
1 11 11 519.090909
12 24 13 559.461538
25 39 15 388.933333
40 70 31 531.451613
71 78 8 389.125000
79 124 46 483.413043
125 135 11 506.181818
136 159 24 540.625000
160 176 17 388.647059
177 201 25 532.160000
202 216 15 464.533333
217 228 12 540.666667
229 241 13 441.615385
242 266 25 380.240000
267 274 8 426.000000
275 285 11 397.636364
286 311 26 364.461538
312 322 11 496.272727
323 332 10 528.800000
333 370 38 486.605263
371 392 22 526.500000
393 402 10 483.000000
403 419 17 515.647059
420 449 30 493.066667
450 473 24 447.125000
474 500 27 490.111111
